age,gender,degree_level,field_of_study,gpa,years_experience,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,recommended_job_1,recommended_job_2,recommended_job_3
34,Male,Bachelor,Data Science,3.46,3,1,0,1,1,0,1,1,1,0,1,0,5,3,2,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,PhD,Data Science,3.72,4,1,0,0,1,0,1,0,0,0,1,0,2,1,1,5,1,Business Intelligence Analyst,DevOps Engineer,AI Researcher
31,Female,PhD,Cybersecurity,2.7,8,1,0,0,1,1,1,0,0,0,0,0,4,2,1,3,2,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
25,Female,Bachelor,Data Science,2.5,1,0,1,0,0,1,1,1,0,1,0,0,2,5,5,1,5,Software Engineer,Cloud Engineer,Backend Developer
24,Female,Bachelor,Software Engineering,3.95,7,0,0,0,0,0,1,1,0,0,0,1,2,3,3,1,5,Cloud Engineer,AI Researcher,Security Engineer
29,Female,PhD,Data Science,2.57,2,1,1,1,0,0,1,0,0,1,0,1,1,3,3,4,1,Software Engineer,Backend Developer,Frontend Developer
34,Female,Bachelor,Computer Science,2.73,1,0,0,1,0,0,0,1,1,1,1,1,3,1,4,4,3,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,PhD,AI,3.37,0,0,1,1,1,0,0,0,0,0,0,1,3,1,1,2,5,Software Engineer,Backend Developer,Security Engineer
21,Female,Master,Cybersecurity,3.26,3,1,1,0,1,1,0,1,1,0,1,1,2,2,2,2,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
34,Male,Master,Cybersecurity,3.99,1,1,1,0,1,1,1,0,0,0,1,0,4,1,4,5,3,AI Researcher,Business Intelligence Analyst,Machine Learning Engineer
33,Female,Master,Data Science,2.92,8,0,1,0,1,1,1,1,0,1,0,0,4,3,5,3,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Male,Bachelor,AI,2.51,2,1,1,1,0,0,0,0,0,0,1,0,2,4,4,5,3,Software Engineer,DevOps Engineer,Backend Developer
29,Male,Bachelor,AI,3.49,5,0,1,1,0,1,1,1,1,1,1,0,1,3,5,5,2,Software Engineer,Cloud Engineer,DevOps Engineer
28,Male,Master,Cybersecurity,3.33,8,1,1,0,0,1,1,1,1,0,1,0,1,5,4,4,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
21,Female,Bachelor,Computer Science,3.46,4,1,0,1,1,0,1,1,0,1,1,0,1,3,1,1,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
34,Male,PhD,Cybersecurity,2.93,0,0,1,1,1,1,1,0,1,0,1,0,5,3,4,1,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
24,Male,Bachelor,Software Engineering,2.86,2,1,1,1,0,0,1,1,0,1,1,1,4,2,5,2,3,Software Engineer,Cloud Engineer,DevOps Engineer
21,Male,PhD,Cybersecurity,3.56,6,1,0,1,1,0,1,0,1,1,0,0,1,5,4,3,5,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
24,Male,Master,Data Science,3.51,2,0,0,0,0,0,0,1,0,1,1,0,3,2,1,2,5,Cloud Engineer,DevOps Engineer,Frontend Developer
26,Male,PhD,AI,2.9,0,1,0,1,0,1,0,1,1,1,1,1,4,1,3,4,4,Machine Learning Engineer,Software Engineer,Cloud Engineer
26,Female,Master,Data Science,3.91,4,1,0,0,1,0,1,0,1,1,1,0,1,2,3,1,1,Business Intelligence Analyst,DevOps Engineer,Cybersecurity Analyst
26,Male,Master,Computer Science,3.97,4,1,0,0,0,0,0,1,1,0,0,0,5,2,3,2,3,Cloud Engineer,Cybersecurity Analyst,AI Researcher
21,Female,PhD,Computer Science,3.98,2,0,1,1,0,1,1,0,1,1,0,0,1,1,4,3,5,Software Engineer,Cybersecurity Analyst,AI Researcher
28,Female,PhD,Cybersecurity,3.09,0,0,0,0,1,0,1,0,0,0,0,0,5,2,5,4,3,Business Intelligence Analyst,Data Analyst,Data Scientist
26,Female,Bachelor,Computer Science,3.71,0,0,1,1,1,1,0,0,1,0,1,0,2,2,5,3,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
